epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
1,4.20418,2.33202,3.70333,0.27138,1.66672,0.0369,3.94664,0.99506,0.92308,0.97853,0.81121,0.975,0.84615,0.845,0.68528,0.68508,2.09492,0.275,0.36387,0.01153,0,0.000444444,0.000444444,0.000444444
2,9.62728,2.63493,3.69142,0.2839,1.46377,0.03816,3.95815,0.99494,0.92308,0.97853,0.80902,0.97575,0.84615,0.845,0.69194,0.67402,2.08942,0.27392,0.36703,0.01133,0,0.00109736,0.00109736,0.00109736
3,12.4403,2.52195,3.11454,0.22975,1.57441,0.03957,3.36222,0.99494,0.92308,0.97853,0.80902,0.97575,0.84615,0.845,0.69194,0.67402,2.08942,0.27392,0.36703,0.01133,0,0.00173378,0.00173378,0.00173378
4,13.8271,2.58787,3.11108,0.26852,1.31837,0.03817,3.10714,0.99466,0.92308,0.98567,0.80015,0.97504,0.84615,0.845,0.69202,0.65933,2.07364,0.27256,0.37934,0.01109,0,0.00192575,0.00192575,0.00192575
5,15.1822,2.52737,2.84554,0.26249,1.28163,0.04077,3.40205,0.99466,0.92308,0.98567,0.80015,0.97504,0.84615,0.845,0.69202,0.65933,2.07364,0.27256,0.37934,0.01109,0,0.001901,0.001901,0.001901
6,16.5548,2.43423,3.04316,0.21735,1.24553,0.03944,3.41101,0.99544,0.92308,0.98567,0.81575,0.97821,0.84615,0.845,0.69286,0.64547,2.05612,0.26694,0.38729,0.01094,0,0.00187625,0.00187625,0.00187625
7,17.8929,2.30871,3.32863,0.257,1.53765,0.03831,4.1001,0.99544,0.92308,0.98567,0.81575,0.97821,0.84615,0.845,0.69286,0.64547,2.05612,0.26694,0.38729,0.01094,0,0.0018515,0.0018515,0.0018515
8,19.6657,2.45307,3.93041,0.2579,1.80861,0.04384,5.12602,0.99544,0.92308,0.98567,0.81575,0.97821,0.84615,0.845,0.69286,0.64547,2.05612,0.26694,0.38729,0.01094,0,0.00182675,0.00182675,0.00182675
9,21.4917,2.73878,2.90026,0.19205,1.44479,0.04459,3.39184,0.99571,0.92308,0.97556,0.81545,0.97904,0.84615,0.845,0.7023,0.64363,2.02883,0.26166,0.40521,0.01101,0,0.001802,0.001802,0.001802
10,22.8454,2.60186,2.64356,0.32067,1.21538,0.04418,3.70482,0.99571,0.92308,0.97556,0.81545,0.97904,0.84615,0.845,0.7023,0.64363,2.02883,0.26166,0.40521,0.01101,0,0.00177725,0.00177725,0.00177725
11,24.2185,2.35974,5.14055,0.32537,1.47712,0.04382,7.90785,0.2335,0.38462,0.14833,0.02156,0.00166,0.15385,0.00073,0.00011,3.19695,8.4089,0.6141,2.53775,0.06002,0,0.0017525,0.0017525,0.0017525
12,25.9297,2.31965,7.59538,0.51291,1.33315,0.03168,11.4492,0.2335,0.38462,0.14833,0.02156,0.00166,0.15385,0.00073,0.00011,3.19695,8.4089,0.6141,2.53775,0.06002,0,0.00172775,0.00172775,0.00172775
13,27.6777,2.58022,7.7026,0.54089,1.69627,0.04853,13.7308,0.14188,0.38462,0.07458,0.01215,0.00185,0.15385,0.00062,0.00015,3.50763,8.1114,0.54839,2.3013,0.06617,0,0.001703,0.001703,0.001703
14,29.372,2.71887,7.96205,0.4696,1.63416,0.05284,14.3339,0.14188,0.38462,0.07458,0.01215,0.00185,0.15385,0.00062,0.00015,3.50763,8.1114,0.54839,2.3013,0.06617,0,0.00167825,0.00167825,0.00167825
15,31.0187,2.32585,6.77267,0.37069,1.46633,0.03212,11.9333,0.14188,0.38462,0.07458,0.01215,0.00185,0.15385,0.00062,0.00015,3.50763,8.1114,0.54839,2.3013,0.06617,0,0.0016535,0.0016535,0.0016535
16,33.5763,2.31798,8.08082,0.64998,1.71414,0.0328,11.8998,0.53331,0.61538,0.51132,0.12914,0.29469,0.15385,0.062,0.01257,2.59931,8.28004,1.15619,2.23676,0.05204,0,0.00162875,0.00162875,0.00162875
17,35.7612,2.08723,8.0685,0.80478,1.8894,0.03305,11.6542,0.53331,0.61538,0.51132,0.12914,0.29469,0.15385,0.062,0.01257,2.59931,8.28004,1.15619,2.23676,0.05204,0,0.001604,0.001604,0.001604
18,37.4788,2.00705,7.59013,0.72544,1.56551,0.02908,10.5797,0.32107,0.61538,0.46177,0.19233,0.43309,0.07692,0.08154,0.00815,2.24771,8.19698,0.90352,2.1,0.04561,0,0.00157925,0.00157925,0.00157925
19,39.2046,1.88717,7.47641,0.58663,1.63708,0.02545,9.98752,0.32107,0.61538,0.46177,0.19233,0.43309,0.07692,0.08154,0.00815,2.24771,8.19698,0.90352,2.1,0.04561,0,0.0015545,0.0015545,0.0015545
20,40.9298,1.8374,6.98362,0.57473,1.57389,0.02502,9.08034,0.26792,0.61538,0.37101,0.09904,0.87257,0.15385,0.19315,0.0546,2.54621,7.75524,0.7033,2.14679,0.05199,0,0.00152975,0.00152975,0.00152975
21,42.6638,1.84854,6.35663,0.5016,1.38386,0.02755,8.56452,0.26792,0.61538,0.37101,0.09904,0.87257,0.15385,0.19315,0.0546,2.54621,7.75524,0.7033,2.14679,0.05199,0,0.001505,0.001505,0.001505
22,44.4824,1.64769,7.47993,0.50917,1.3369,0.02714,9.07017,0.26792,0.61538,0.37101,0.09904,0.87257,0.15385,0.19315,0.0546,2.54621,7.75524,0.7033,2.14679,0.05199,0,0.00148025,0.00148025,0.00148025
23,47.0165,1.7592,6.27764,0.49135,1.04462,0.02197,6.57292,0.25838,0.30769,0.36433,0.07687,0.36947,0.23077,0.22958,0.06634,2.45227,6.87189,0.78142,2.5218,0.05016,0,0.0014555,0.0014555,0.0014555
24,48.7553,1.7377,5.61362,0.53733,1.12751,0.02164,6.83572,0.25838,0.30769,0.36433,0.07687,0.36947,0.23077,0.22958,0.06634,2.45227,6.87189,0.78142,2.5218,0.05016,0,0.00143075,0.00143075,0.00143075
25,50.5753,1.9527,5.89448,0.46454,1.43038,0.0293,7.71401,0.85652,0.46154,0.60169,0.13873,0.4154,0.38462,0.43722,0.12147,2.61318,6.4468,1.14459,2.11055,0.0557,0,0.001406,0.001406,0.001406
26,52.2927,1.79082,4.7908,0.49144,1.16471,0.0224,6.02549,0.85652,0.46154,0.60169,0.13873,0.4154,0.38462,0.43722,0.12147,2.61318,6.4468,1.14459,2.11055,0.0557,0,0.00138125,0.00138125,0.00138125
27,54.0548,1.6874,5.11576,0.4452,1.32636,0.02386,6.38892,0.52851,0.61538,0.48745,0.12142,0.68241,0.38462,0.43028,0.13943,2.62796,5.68422,0.70273,2.02224,0.0516,0,0.0013565,0.0013565,0.0013565
28,55.7232,1.70057,4.65255,0.44144,1.17438,0.02302,6.2773,0.52851,0.61538,0.48745,0.12142,0.68241,0.38462,0.43028,0.13943,2.62796,5.68422,0.70273,2.02224,0.0516,0,0.00133175,0.00133175,0.00133175
29,58.0331,1.72073,5.06776,0.49021,1.05859,0.0217,5.62935,0.52851,0.61538,0.48745,0.12142,0.68241,0.38462,0.43028,0.13943,2.62796,5.68422,0.70273,2.02224,0.0516,0,0.001307,0.001307,0.001307
30,60.4179,1.37885,4.56736,0.42255,1.06423,0.01809,5.93431,1,0.68762,0.79208,0.20287,0.56208,0.61538,0.56169,0.17623,2.58345,5.04399,0.56354,1.34594,0.05061,0,0.00128225,0.00128225,0.00128225
31,62.0807,1.5885,4.45446,0.44164,1.14568,0.02172,5.90944,1,0.68762,0.79208,0.20287,0.56208,0.61538,0.56169,0.17623,2.58345,5.04399,0.56354,1.34594,0.05061,0,0.0012575,0.0012575,0.0012575
32,63.7454,1.44102,4.51368,0.51827,0.96309,0.01948,5.61692,0.83177,0.61538,0.71007,0.18016,0.57421,0.51993,0.40533,0.11923,2.71218,5.10627,0.38804,1.15809,0.05222,0,0.00123275,0.00123275,0.00123275
33,65.3819,1.46039,4.84577,0.42118,1.05262,0.01731,5.69839,0.83177,0.61538,0.71007,0.18016,0.57421,0.51993,0.40533,0.11923,2.71218,5.10627,0.38804,1.15809,0.05222,0,0.001208,0.001208,0.001208
34,67.0447,1.89191,5.56628,0.4582,1.10518,0.02927,6.67609,0.65209,0.61538,0.70984,0.19172,0.45314,0.44714,0.26425,0.09003,2.79472,5.2006,0.50411,0.974,0.0542,0,0.00118325,0.00118325,0.00118325
35,68.6519,1.48214,4.40285,0.45767,0.8944,0.02084,5.63667,0.65209,0.61538,0.70984,0.19172,0.45314,0.44714,0.26425,0.09003,2.79472,5.2006,0.50411,0.974,0.0542,0,0.0011585,0.0011585,0.0011585
36,70.4742,1.5335,4.24638,0.3409,0.98663,0.02183,5.92304,0.65209,0.61538,0.70984,0.19172,0.45314,0.44714,0.26425,0.09003,2.79472,5.2006,0.50411,0.974,0.0542,0,0.00113375,0.00113375,0.00113375
37,72.9391,1.53726,4.84099,0.40145,1.17463,0.01894,5.57108,0.78659,0.53846,0.68402,0.19814,0.57428,0.46154,0.31089,0.09303,2.69517,5.75005,0.72593,1.39845,0.05448,0,0.001109,0.001109,0.001109
38,74.8446,1.40437,3.96833,0.47291,1.09979,0.01905,5.54594,0.78659,0.53846,0.68402,0.19814,0.57428,0.46154,0.31089,0.09303,2.69517,5.75005,0.72593,1.39845,0.05448,0,0.00108425,0.00108425,0.00108425
39,76.5162,1.4856,3.68542,0.39328,0.88072,0.02007,4.96889,0.6942,0.69231,0.73369,0.22892,0.66757,0.46154,0.411,0.10862,2.8262,5.45574,0.7709,1.01395,0.05756,0,0.0010595,0.0010595,0.0010595
